Make,Model,Software,HostComputer,LensSpecification,LensMake,LensModel
CAMERA,2MP-9D1,Ver 1.25 P,,,,
CAMERA,3MP-9CA,Ver 3.23N-A,,,,
CAMERA,3MP-9F6,Ver 1.19 B,,,,
Camera,3MP-9N2,DSC Firmware Ver 1.41,,,,
Camera,3MP-9P2,DSC Firmware Ver 1.16P,,,,
CAMERA,3MP-9P5,Ver.2.02.23P,,,,
CAMERA,4MP-859,V0801-0001,,,,
CAMERA,4MP-9J6,DSC Firmware Ver: V1.13,,,,
CAMERA,4MP-9J9,Ver 1.07,,,,
CAMERA,4MP-9Q3,V1.01,,,,
CAMERA,4MP-9T2,V1.14T,,,,
CAMERA,5MP-9A3,Ver 0.33 x,,,,
CAMERA,5MP-9EY,V1.16P,,,,
CAMERA,5MP-9G4,V0105-0022,,,,
Digital Camera,5MP-9J2,DSC Firmware Ver 1.30.15 Rev 4.02S,,,,
CAMERA,5MP-9M2,Ver 1.14,,,,
CAMERA,5MP-9M7,0.952NBE,,,,
CAMERA,5MP-9P8,1.11HYN1,,,,
CAMERA,5MP-9Q2,1.04NBE,,,,
CAMERA,5MP-9Q3,V1.08,,,,
CAMERA,5MP-9T3,V1.09,,,,
CAMERA,5MP-9W5,Ver 1.02,,,,
CAMERA,5MP-9X9,V1.08.SP,,,,
CAMERA,5MP-9Y2,V1.06uf,,,,
CAMERA,5MP-9Y9,V1.12NBE2,,,,
CAMERA,6MP-9FA,V1.11,,,,
CAMERA,6MP-9FH,V1.01,,,,
CAMERA,6MP-9J5,Ver 1.15,,,,
CAMERA,6MP-9N3,Ver 1.04,,,,
CAMERA,6MP9Q3,V1.00,,,,
CAMERA,6MP-9T6,Ver 1.00,,,,
CAMERA,6MP9U2,V1.01,,,,
CAMERA,6MP-9U7,Ver 1.00,,,,
CAMERA,6MP-9U9,V1.15P,,,,
CAMERA,6MP9W4,V1.00,,,,
Digital Camera,6MP-9Y8,0.00.091PR,,,,
CAMERA,7MP-9GA,V1.00.09,,,,
CAMERA,7MP-9GB,V1.02,,,,
CAMERA,7MP-9GH,Ver 1.03,,,,
CAMERA,7MP-9GL,V1.04,,,,
CAMERA,7MP-9GM,V1.11N,,,,
Camera,8MP-9HC,V1.17H,,,,
CAMERA,8MP-9HG,V1.05H,,,,
"        Camera",8MP-9HX,1.00PE,,,,
CAMERA,8MP-9Q6,Ver 1.02,,,,
CAMERA,8MP-9U4,V1.05P,,,,
CAMERA,8MP-9V9,Ver 1.04,,,,
CAMERA,CE5430,1.01VER,,,,
Digital Camera,DB 3MP,Ver 1.5,,,,
DigiCam,DC 1070,Ver 1.18,,,,
CAMERA,DC1310,1.46B,,,,
CAMERA,DC2070,1.35B,,,,
CAMERA,DC2071,1.21Bs,,,,
CAMERA,DC2300,1.28B,,,,
CAMERA,DC2302,1.26B,,,,
CAMERA,DC3301,1.20B,,,,
" CAMERA",DC-3305,1.19B,,,,
" CAMERA",DC3306,1.26B,,,,
CAMERA,DC3A30,DSC DC3A30   Ver0.93,,,,
Camera,DC-4300,DC-4300,,,,
Camera,DC-4330,Picasa 3.0,,,,
Digital Camera,DC5085,Ver 1.11,,,,
7M 3X Digital Camera,DC-733i,00.01.0527,,,,
Digital Camera,DS5MP,Ver 1.12T2,,,,
5.0M Digital Camera,MP5,"  1.0",,,,
Canon,Canon iR1018/1022/1023,iR Toolbox 4.9.1.1,,,,
Canon,Canon iVIS DC50,,,,,
Canon,Canon iVIS HF S10,,,,,
Canon,Canon iVIS HF10,,,,,
Canon,Canon iVIS HR10,,,,,
Canon,Canon iVIS HV20,,,,,
Canon,CanoScan 4400F,CanoScan Toolbox 5.0,,,,
Canon,CanoScan 5200F,CanoScan Toolbox 4.9.1.1,,,,
Canon,CanoScan 5600F,MP Navigator EX 2.0,,,,
Canon,CanoScan 8400F,ACD Systems Digital Imaging,,,,
Canon,CanoScan 8600F,QuickTime 7.6.2,Mac OS X 10.5.4,,,
Canon,CanoScan 8800F,MP Navigator EX 1.0,,,,
Canon,CanoScan 9950F,QuickTime 7.6.2,Mac OS X 10.4.9,,,
Canon Inc.,CanoScan FB630U/FB636U,ACD Systems Digital Imaging,,,,
Canon,CanoScan LiDE 100,MP Navigator EX 2.0,,,,
Canon,CanoScan LiDE 200,ACD Systems Digital Imaging,,,,
Canon,CanoScan LiDE 25,ACD Systems Digital Imaging,,,,
Canon,CanoScan LiDE 500F,CanoScan Toolbox 4.9.1.1,,,,
Canon,CanoScan LiDE 60,Программа цифровой обработки изображений компании ACD Systems,,,,
Canon,CanoScan LiDE 600F,CanoScan Toolbox 5.0,,,,
Canon,CanoScan LiDE 70,CanoScan Toolbox 5.0,,,,
Canon,CanoScan LiDE 700F,MP Navigator EX 2.1,,,,
Canon,CanoScan LiDE 90,Программа цифровой обработки изображений компании ACD Systems,,,,
Canon Inc.,CanoScan N650U/N656U,Adobe Photoshop Album Starter Edition 3.0,,,,
Canon,Canon DC10,,,,,
Canon,Canon DC100,,,,,
Canon,Canon DC19,,,,,
Canon,Canon DC20,,,,,
Canon,Canon DC201,,,,,
Canon,Canon DC21,,,,,
Canon,Canon DC210,,,,,
Canon,Canon DC211,,,,,
Canon,Canon DC22,,,,,
Canon,Canon DC220,,,,,
Canon,Canon DC230,,,,,
Canon,Canon DC301,,,,,
Canon,Canon DC310,,,,,
Canon,Canon DC311,,,,,
Canon,Canon DC320,,,,,
Canon,Canon DC330,,,,,
Canon,Canon DC40,,,,,
Canon,Canon DC410,,,,,
Canon,Canon DC411,,,,,
Canon,Canon DC420,Microsoft Windows Photo Gallery 6.0.6001.18000,,,,
Canon,Canon DC50,,,,,
Canon,Canon DIGITAL IXUS,,,,,
Canon,Canon DIGITAL IXUS II,,,,,
Canon,Canon DIGITAL IXUS IIs,,,,,
Canon,Canon DIGITAL IXUS WIRELESS,,,,,
Canon,Canon DIGITAL IXUS 100 IS,,,,,
Canon,Canon DIGITAL IXUS 110 IS,,,,,
Canon,Canon DIGITAL IXUS 120 IS,,,,,
Canon,Canon DIGITAL IXUS 200 IS,,,,,
Canon,Canon DIGITAL IXUS 30,,,,,
Canon,Canon DIGITAL IXUS 300,,,,,
Canon,Canon DIGITAL IXUS 330,,,,,
Canon,Canon DIGITAL IXUS 40,,,,,
Canon,Canon DIGITAL IXUS 400,ACD Systems Digital Imaging,,,,
Canon,Canon DIGITAL IXUS 430,,,,,
Canon,Canon DIGITAL IXUS 50,,,,,
Canon,Canon DIGITAL IXUS 500,,,,,
Canon,Canon DIGITAL IXUS 55,,,,,
Canon,Canon DIGITAL IXUS 60,,,,,
Canon,Canon DIGITAL IXUS 65,,,,,
Canon,Canon DIGITAL IXUS 70,,,,,
Canon,Canon DIGITAL IXUS 700,,,,,
Canon,Canon DIGITAL IXUS 75,,,,,
Canon,Canon DIGITAL IXUS 750,,,,,
Canon,Canon DIGITAL IXUS 800 IS,,,,,
Canon,Canon DIGITAL IXUS 80 IS,,,,,
Canon,Canon DIGITAL IXUS 82 IS,,,,,
Canon,Canon DIGITAL IXUS 850 IS,,,,,
Canon,Canon DIGITAL IXUS 85 IS,,,,,
Canon,Canon DIGITAL IXUS 860 IS,,,,,
Canon,Canon DIGITAL IXUS 870 IS,,,,,
Canon,Canon DIGITAL IXUS 900 Ti,,,,,
Canon,Canon DIGITAL IXUS 90 IS,,,,,
Canon,Canon DIGITAL IXUS 950 IS,,,,,
Canon,Canon DIGITAL IXUS 95 IS,,,,,
Canon,Canon DIGITAL IXUS 960 IS,,,,,
Canon,Canon DIGITAL IXUS 970 IS,,,,,
Canon,Canon DIGITAL IXUS 980 IS,,,,,
Canon,Canon DIGITAL IXUS 990 IS,,,,,
Canon,Canon DIGITAL IXUS i,,,,,
Canon,Canon DIGITAL IXUS i zoom,,,,,
Canon,Canon DIGITAL IXUS i5,,,,,
Canon,Canon DIGITAL IXUS i7 zoom,,,,,
Canon,Canon DIGITAL IXUS i zoom,,,,,
Canon,Canon DIGITAL IXUS v,,,,,
Canon,Canon DIGITAL IXUS v2,,,,,
Canon,Canon DIGITAL IXUS v3,,,,,
Canon,Canon EOS DIGITAL REBEL XT,,,,,
Canon,DM-GL2,,,,,
Canon,DM-XM2,,,,,
Canon,Canon DV 001,,,,,
Canon,Canon DV 011,,,,,
Canon,Canon DV 012,,,,,
Canon,Canon DV 013,,,,,
Canon,Canon DV 021,,,,,
Canon,Canon ELURA100,,,,,
Canon,Canon ELURA40 MC,,,,,
Canon,Canon ELURA50,,,,,
Canon,Canon ELURA60,,,,,
Canon,Canon ELURA65,,,,,
Canon,Canon ELURA70,,,,,
Canon,Canon ELURA80,,,,,
Canon,Canon ELURA85,,,,,
Canon,Canon ELURA90,,,,,
Canon,Canon EOS C300,,,,,EF-S17-55mm f/2.8 IS USM
Kodak,Kodak DCS520C,KODAK PROFESSIONAL DCS Photo Desk 4.3.0.8 W,,,,
Canon,Canon EOS D30,,,,,
Canon,Canon EOS D60,,,,,
Canon,Canon EOS DIGITAL REBEL,,,,,
Canon,Canon EOS DIGITAL REBEL XS,,,,,EF-S18-55mm f/3.5-5.6 IS
Canon,Canon EOS DIGITAL REBEL XSi,,,,,EF50mm f/2.5 Compact Macro +LSC
Canon,Canon EOS DIGITAL REBEL XT,,,,,
Canon,Canon EOS DIGITAL REBEL XTi,,,,,EF-S18-55mm f/3.5-5.6
Canon,Canon EOS K236,,,,,EF-S18-55mm f/3.5-5.6
Canon,Canon EOS Kiss Digital,,,,,
Canon,Canon EOS Kiss Digital N,,,,,
Canon,Canon EOS Kiss Digital X,,,,,EF-S18-55mm f/3.5-5.6 USM
Canon,Canon EOS Kiss F,,,,,EF-S18-55mm f/3.5-5.6 IS
Canon,Canon EOS Kiss X10,,,50mm f/0,,EF50mm f/1.8 STM
Canon,Canon EOS Kiss X2,,,,,EF-S18-55mm f/3.5-5.6 IS
Canon,Canon EOS Kiss X3,,,,,EF-S18-55mm f/3.5-5.6 IS
Canon,Canon EOS Kiss X4,,,,,EF-S18-55mm f/3.5-5.6 IS
Canon,Canon EOS Kiss X5,,,55-250mm f/?,,EF-S55-250mm f/4-5.6 IS
Canon,Canon EOS Kiss X50,,,50mm f/?,,EF50mm f/1.8
Canon,Canon EOS Kiss X6i,,,18-135mm f/0,,EF-S18-135mm f/3.5-5.6 IS
Canon,Canon EOS Kiss X7,,,18-55mm f/0,,EF-S18-55mm f/3.5-5.6 IS STM
Canon,Canon EOS Kiss X70,,,24-70mm f/?,,EF24-70mm f/2.8L II USM
Canon,Canon EOS Kiss X7i,,,18-135mm f/0,,EF-S18-135mm f/3.5-5.6 IS
Canon,Canon EOS Kiss X8i,,,18-55mm f/0,,EF-S18-55mm f/3.5-5.6 IS STM
Canon,Canon EOS Kiss X9,,,50mm f/0,,EF50mm f/1.8 STM
Canon,Canon EOS Kiss X90,,,18-135mm f/?,,EF-S18-135mm f/3.5-5.6 IS STM
Canon,Canon EOS Kiss X9i,,,24mm f/0,,EF-S24mm f/2.8 STM
Canon,Canon EOS M,,,22mm f/0,,EF-M22mm f/2 STM
Canon,Canon EOS M10,,,15-45mm f/0,,EF-M15-45mm f/3.5-6.3 IS STM
Canon,Canon EOS M100,,,70mm f/0,,EF50mm f/2.5 Compact Macro +LSC
Canon,Canon EOS M2,,,22mm f/0,,EF-M22mm f/2 STM
Canon,Canon EOS M200,,,15-45mm f/0,,EF-M15-45mm f/3.5-6.3 IS STM
Canon,Canon EOS M3,,,55-200mm f/0,,EF-M55-200mm f/4.5-6.3 IS STM
Canon,Canon EOS M5,,,15-45mm f/0,,EF-M15-45mm f/3.5-6.3 IS STM
Canon,Canon EOS M50,,,15-45mm f/0,,EF-M15-45mm f/3.5-6.3 IS STM
Canon,Canon EOS M6,,,15-45mm f/0,,EF-M15-45mm f/3.5-6.3 IS STM
Canon,Canon EOS M6 Mark II,,,18-150mm f/0,,EF-M18-150mm f/3.5-6.3 IS STM
Canon,Canon EOS R,,,50mm f/0,,RF50mm F1.2 L USM
Canon,Canon EOS R10,,,18-45mm f/0,,RF-S18-45mm F4.5-6.3 IS STM
Canon,Canon EOS R5,,,24-70mm f/0,,RF24-70mm F2.8 L IS USM
Canon,Canon EOS R50,,,18-45mm f/0,,RF-S18-45mm F4.5-6.3 IS STM
Canon,Canon EOS R6,,,24-70mm f/0,,RF24-70mm F2.8 L IS USM
Canon,Canon EOS R6m2,,,15-35mm f/0,,RF15-35mm F2.8 L IS USM
Canon,Canon EOS R7,,,18-150mm f/0,,RF-S18-150mm F3.5-6.3 IS STM
Canon,Canon EOS R8,,,85mm f/0,,RF85mm F2 MACRO IS STM
Canon,Canon EOS REBEL SL1,,,70mm f/0,,EF50mm f/2.5 Compact Macro +LSC
Canon,Canon EOS REBEL T1i,,,,,EF-S18-55mm f/3.5-5.6 IS
Canon,Canon EOS REBEL T2i,,,,,EF50mm f/2.5 Compact Macro +LSC
Canon,Canon EOS REBEL T3,,,70mm f/?,,EF50mm f/2.5 Compact Macro +LSC
Canon,Canon EOS REBEL T3i,,,18-135mm f/?,,EF-S18-135mm f/3.5-5.6 IS
Canon,Canon EOS REBEL T4i,,,18-55mm f/0,,EF-S18-55mm f/3.5-5.6 IS
Canon,Canon EOS REBEL T5,,,18-55mm f/?,,EF-S18-55mm f/3.5-5.6 IS II
Canon,Canon EOS REBEL T5i,,,18-135mm f/0,,EF-S18-135mm f/3.5-5.6 IS STM
